"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"European Union","EUU","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","31.4330075159568","26.4095656128203","27.7017171487221","28.2856947975053","28.1771769177187","27.5391481177912","25.5240198993716","26.4977546688583","27.9288140985393","28.536118200728","29.0477796436187","30.5002080899853","31.2584180510276","31.6413191156044","30.7576549759352","29.7303607027859","30.8151976908287","30.9502463302802","30.0479767254598","32.3639899789406","31.9581273765052","32.6524902625772","31.6198813348832","31.8951444579659","31.7419504984207","31.7093338531464","30.3344715866017","27.9877673506055","27.4671953323985","26.3879427538785","25.3548010994086","24.9006573770716","23.9699025304","23.2399889350223","23.1722006160817","22.0338553937501","22.0811015514425","21.5470721395723","21.4083359994921","20.9415969839651","20.3643517165754","20.2196233624431","20.1757940684391","19.8839468558512","19.507712850237","11.0248500360141","10.9303715674287","15.0745488194883","16.5316978307091",
"European Union","EUU","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","82730597875.6706","98239944242.1031","124032856550.264","150252089623.311","179644043889.98","170126716449.311","164914358293.631","157523591747.637","156663839407.554","163611151651.954","202123459268.258","244730927642.826","263370289203.81","280280455840.489","360520552279.962","367897773583.748","426395789716.167","399752388425.407","421344246924.897","493547346680.264","509757388680.578","504865855435.61","534809109831.826","564913323564.081","571259227262.541","591129361250.12","647786351290.344","767499240491.077","930490191033.19","1018347455816.37","1140880129523.49","1365599928170.56","1562253817609.81","1375143843238.39","1420307005648.1","1613142332651.91","1593429435596.33","1747310015201.49","1885825927365.22","1730878998096.33","1788715675819.42","1990434249241.83","2222430715887.06","2292870290355.89","2049439434241.59","2488393239245.84","2755595805950.51","2959109128441.72",
"European Union","EUU","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","34601620000","37551680000","39330480000","43025820000","48634930000","54179920000","59782210000","64107280000","73504170000","86401008000","104529984000","119069953000","145832773000","201876336000","265944994000","286985894000","317092389000","362886779000","435358886000","543718387000","613527048000","569939818364","550177360019","539628115017","555912145307","586630755326","726218063613","864992761546","961761206158.7","1019603355076.2","1214024866510","1211900625526","1289795008392.6","1197225436328.9","1375166115339.7","1691983657076","1738573389930","1928660557381","2011813625903","2074620169056","2164931306065","2200970179718","2362447529532","2851760874993","3423262027955","3687929924936","4157203378868","4928632347247","5495762434787","4261346688150","4767969420230","5587163742288","5342469537196","5535313320248","5653031793474","4929056187412","4969742999100","5466717741716","5993402935029","5825131331172","5462691261872","","","",
"European Union","EUU","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","7.05958275941993","5.65146486122592","4.4358980617577","4.3119921944544","3.8881108701092","3.91264881897205","3.72850050207244","3.61604797458261","3.63760314550862","3.41973903822974","3.15908400024246","3.11665445941681","3.21322834614137","3.44935029928421","4.66256078503211","6.57558834581605","6.17797735914753","6.28433310875732","5.95743553974456","5.30375607842006","6.02974752630629","7.66796929510575","6.99958880673717","6.49578310203495","5.67440317666653","4.88618057774367","3.50536811136548","2.82955367758571","2.768090833077","2.73647628319452","2.8227957725508","2.86921600826606","2.79676179571012","2.72628085147512","2.35899178733847","2.12053488754403","2.0759625569092","2.01685497490236","2.02084481837833","1.92103489683085","1.83297223948077","1.93021291244587","1.96383472657235","1.94671148635968","2.02329060160715","2.11493499585282","1.8429336548808","1.8474099504269","2.11020163948362","2.47813917005766","2.37313987201583","2.07380282483991","2.21405467567873","2.23957373049744","2.21068336283318","2.13523665629504","2.12454312708164","2.03852436394528","1.93637894847192","1.80163776303881","1.67433758364474","","","",
"European Union","EUU","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","19.3653071734792","17.333392274327","15.0636605502908","14.5570729389934","13.9421399393399","13.9881158923823","14.1697672267385","14.0792122205154","13.3931993246097","12.5778914523775","11.8539107400992","11.5794805092432","11.0167143293641","11.1564497584303","13.5287468505611","16.1391698924408","14.697637539323","14.6521091637786","14.1629159258736","13.1941096191032","14.4678099016753","16.8748233810638","15.3309305265499","14.0836889299889","12.9609279929041","12.2920427718032","10.479304462212","9.28355239261331","8.85652029864457","8.72638140584771","8.6664908264581","8.82818206872618","9.60519654834601","12.1857531588306","11.5819534735175","11.8227725353005","12.210629434176","12.2374301968979","11.2212571449157","9.90678151580728","10.3084035453132","10.648938205743","10.8023620668754","11.081582497613","11.8130119239974","12.5859068178215","13.0990157351955","13.832084392373","14.9191225598669","15.1987557001418","16.2782082463641","16.8648393417969","17.6578667005582","17.7615943299295","17.0502416317329","15.9374870240922","15.7132001535174","16.1919882271834","15.775414367688","15.7076260258137","15.6687479045938","","","",
"European Union","EUU","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","4.31944323813842","3.89836947201906","4.15834999677268","4.44083019868241","4.76403497532772","4.51001515100136","4.62049872510831","4.3637600572484","4.15514868159278","3.32040784795903","3.14670162511251","3.41202991542958","3.95400724599033","2.98423853611856","3.08848153204237","3.05053987667272","2.926660662478","3.25187503349025","3.68534318463527","3.1055154644136","2.79641524711227","3.08870031170231","3.41017376212643","2.91718409397995","2.54671393736605","2.74880122393716","2.76297606026008","2.96458204680925","2.55929742976874","2.37490652188855","2.76516282526023","2.67413074322105","2.62891375823746","2.77433127099542","2.51407981209857","2.58110060866534","2.33864265410971","2.32600620273096","2.4525401794535","2.29371411797901","2.17489842032566","2.12963721820957","2.38156469181114","2.49519573257185","3.23508071324472","3.201603855645","2.91942550087832","2.44899610197179","3.11363495403803","3.35026413530993","3.15237030851045","2.82153448630635","2.74381134842485","2.58721690216023","2.3889419710538","2.66420375166588","2.73397516347523","2.66447436755095","2.81726476423957","3.38155564595549","3.15892952444948","2.77656817850637",
"European Union","EUU","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","7.39729316015923","5.15717956306786","4.57283016859722","4.50491949756029","4.01917715070934","3.90454052539814","4.57701630623093","4.16449145123088","4.4610375169731","4.7726217942334","3.7824604371837","4.16403119370027","5.64778566156468","5.35831092722102","5.42261007030569","5.4468749606443","4.99057053223414","5.81262248323579","6.77213975334024","7.38468981907689","7.37339012125409","7.25529990617994","7.52098059769919","6.68613725252541","4.4023604753534","3.93786989977968","2.86397179461605","3.28997726860717","3.46189288561294","3.42582128266305","3.42082626735644","3.53409558311477","3.23966245824313","2.83248084924268","3.21231962308985","2.97893359823915","2.51887873473321","2.63471495718957","3.58810643493889","3.18163826306957","3.06436863683673","3.19157679784049","3.62784925946171","4.50944692424042","4.9156120224816","4.50349706387791","5.62728585958866","4.44363422084029","5.25279888760178","6.15583889833747","6.70292803958078","6.43662013651315","5.82110489281814","4.72227237667872","3.87281407236969","4.45220904125499","4.85588480275407","4.56782000916127","3.23746931432766","4.60551109476884","7.51079560177359","5.8798106153752",
